Date,Close,High,Low,Volume,MFI
2018-11-19,0.8,0.83,0.75,39334,
2018-11-20,0.75,0.81,0.75,8954,
2018-11-21,0.8,0.8,0.78,29115,
2018-11-23,0.8,0.8,0.76,10279,
2018-11-26,0.79,0.825,0.7403,50451,
2018-11-27,0.83,0.8401,0.77,82020,
2018-11-28,0.8,0.85,0.8,45100,
2018-11-29,0.8,0.8001,0.78,59551,
2018-11-30,0.78,0.8,0.78,31496,
2018-12-03,0.7901,0.83,0.7809999999999999,35388,
2018-12-04,0.76,0.8,0.71,88352,
2018-12-06,0.77,0.8264,0.7101,73180,
2018-12-07,0.7065,0.8,0.67,28438,
2018-12-10,0.72,0.75,0.6817,56536,
2018-12-11,0.6890000000000001,0.7363,0.68,119617,41.20982123420905
2018-12-12,0.69,0.7,0.68,74553,37.25700032403272
2018-12-13,0.67,0.7,0.64,64550,33.30464193868384
2018-12-14,0.6901,0.73,0.65,77317,39.25036387136871
2018-12-17,0.67,0.6987,0.6184,50285,36.557540814052565
2018-12-18,0.6495,0.7,0.6284,141244,30.848830797930265
2018-12-19,0.63,0.65,0.61,45611,19.83829045113386
2018-12-20,0.5959,0.63,0.495,55417,20.077390256061044
2018-12-21,0.5971,0.6,0.542,48617,25.393626227406486
2018-12-24,0.6399,0.7502,0.521,169369,25.778838565458816
2018-12-26,0.68,0.7,0.56,169899,37.598118467195214
2018-12-27,0.69,0.69,0.62,85090,41.02918526976163
2018-12-28,0.6867,0.7,0.6,86148,41.004894357176205
2018-12-31,0.7333,0.8,0.64,216198,46.14604684852264
2019-01-02,0.7813,0.795,0.702188,50355,57.165051302204475
2019-01-03,0.77,0.785,0.6654,43779,60.10168323580443
2019-01-04,0.7901,0.8205,0.72,70934,65.13822289960977
2019-01-07,0.825,0.828,0.79,62706,65.60669802107167
2019-01-08,0.8091,0.828,0.77,39208,65.77723283520349
2019-01-09,0.8324,0.86,0.7929,106871,69.49760337107587
2019-01-10,0.8298,0.8324,0.7824,28218,69.86245472695904
2019-01-11,0.8099,0.85,0.705,44445,70.3245642214072
2019-01-14,0.8,0.8113,0.7116,57297,66.41351350148419
2019-01-15,0.88,0.95,0.77,173327,67.0259887533227
2019-01-16,0.9001,0.92,0.861,91533,68.52709351468692
2019-01-17,0.8685,0.9,0.8202,48407,58.47457401763773
2019-01-18,0.87,0.91,0.8326,71518,64.17186330901035
2019-01-22,0.87,0.89,0.81,33960,57.39891720280378
2019-01-23,0.8574,0.89,0.8131,10291,46.485246697322474
2019-01-24,0.8708,0.88,0.86,22656,49.54390688308858
2019-01-25,0.8448,0.88,0.8361,23039,45.92766643811469
2019-01-28,0.88,0.88,0.8,51930,40.27382362502656
2019-01-29,0.8618,0.92,0.85,133461,47.189944890546315
2019-01-30,0.86,0.8799,0.8301,62318,37.80401782185802
2019-01-31,0.87,0.903,0.83,51047,46.93106677834213
2019-02-01,0.86,0.87,0.82,59807,45.60155778934571
2019-02-04,0.8902,0.9,0.8551,71149,51.28558926991158
2019-02-05,0.85,0.9,0.85,96788,44.44224302292522
2019-02-06,0.9201,0.9643,0.85,109770,39.321153607952375
2019-02-07,0.9393,0.9998,0.9001,77852,51.90783756726493
2019-02-08,0.9009999999999999,0.95,0.9009999999999999,61816,44.33009147637391
2019-02-11,0.93,0.9498,0.88,30441,52.07364266991669
2019-02-12,0.86,0.9329999999999999,0.85,51476,52.14793235187247
2019-02-13,0.89,0.92,0.851,112497,54.33600460421053
2019-02-14,0.855,0.8975,0.85,113222,49.3908728308316
2019-02-15,0.89,0.9,0.85,25878,55.591489545526706
2019-02-21,0.915,0.92,0.91,42111,54.570332540785046
2019-02-22,0.98,0.99,0.9101,154822,64.05449127977735
2019-02-25,0.99,1.1,0.91,458265,67.64528592009147
2019-02-26,0.99,1.03,0.92,118216,47.16684997439096
2019-02-27,0.88,0.9925,0.81,173609,41.47725171923926
2019-02-28,0.8799,0.9,0.83,180947,38.96140658422894
2019-03-01,0.9067,0.91,0.865778,66368,41.769324591026276
2019-03-04,0.8512,0.91,0.7829999999999999,98614,36.43819087070702
2019-03-05,0.8001,0.87,0.78,88026,36.206880102115974
2019-03-06,0.8166140000000001,0.86,0.81,67457,36.818842680536605
2019-03-07,0.7771,0.85,0.757,189441,36.18091882528762
2019-03-08,0.775,0.8001,0.74,61576,31.320189367493196
2019-03-11,0.8,0.8,0.72,87296,35.16014595391649
2019-03-12,0.7501,0.83,0.73,14613,29.80689351778677
2019-03-13,0.82,0.825,0.7442810000000001,53789,29.308211311051885
2019-03-14,0.85,0.85,0.8,74171,29.495498607959505
2019-03-15,0.8958,0.9,0.8,120324,25.51794122883561
2019-03-18,0.9,0.91,0.8315,157311,41.93192593855641
2019-03-19,0.8997,0.9,0.85,35800,52.615713102879404
2019-03-20,0.899,0.9,0.86,10599,61.533456668338424
2019-03-21,0.91,0.92,0.86,52102,55.449480943810016
2019-03-22,0.9031,0.92,0.83,88413,56.20773708671597
2019-03-25,0.89,0.92,0.871,73237,65.05997157966938
2019-03-26,0.9,0.92,0.8752,52737,64.81302712090957
2019-03-27,0.899,0.91,0.8752,67038,65.42567594207583
2019-03-28,0.8876,0.9,0.8752,49682,72.72047818987708
2019-03-29,0.8902,0.9,0.8601,38183,67.15330326667534
2019-04-01,0.849775,0.9,0.849775,27025,70.07971484515055
2019-04-02,0.84,0.8645,0.8358,51885,67.56745855019385
2019-04-03,0.8125,0.85,0.81,44332,62.03953766860239
2019-04-04,0.8225,0.8645,0.81,74195,60.78232827409589
2019-04-05,0.8,0.84,0.7953,31881,49.908919664651776
2019-04-08,0.8,0.84,0.8,54726,40.63081095033035
2019-04-09,0.8075,0.84,0.7263,57226,34.69541626996097
2019-04-10,0.831,0.831,0.77,20933,38.263242364708425
2019-04-11,0.8475,0.8849,0.78,29154,42.78433433842003
2019-04-12,0.8117,0.8475,0.78,29669,33.15956476703204
2019-04-15,0.815,0.85,0.8059999999999999,9687,27.96742679622189
2019-04-16,0.78,0.85,0.75,29435,30.20430938520407
2019-04-17,0.78,0.82,0.78,2140,34.391904326965665
2019-04-18,0.8201,0.8201,0.75,31040,38.56375423147343
2019-04-22,0.81,0.85,0.7911,65019,45.96135610860456
2019-04-23,0.8126,0.85,0.804,23371,55.56622222746497
2019-04-24,0.86,0.86,0.8059999999999999,13730,64.09794730415675
2019-04-25,0.82,0.8690000000000001,0.75,99419,58.41540220581742
2019-04-26,0.81,0.8273,0.7878,69210,55.48587565771667
2019-04-29,0.82,0.83,0.8,13482,58.74726804332248
2019-04-30,0.81,0.8515,0.8,16626,66.8906341350062
2019-05-01,0.84,0.9,0.83,75611,63.856346186704535
2019-05-02,0.85,0.9,0.8016,40992,51.77237318515917
2019-05-03,0.9009999999999999,0.929,0.8201,314857,59.07237381357101
2019-05-06,0.9002,0.91,0.86,54002,74.88376999837647
2019-05-07,0.91,0.91,0.86,88153,77.47082399924516
2019-05-08,0.876713,0.9,0.86,20989,69.61239525624786
2019-05-09,0.8227,0.91,0.8202,31397,67.92816057078801
2019-05-10,0.88,0.88,0.8259,39517,68.0083200308386
2019-05-13,0.82,0.858,0.7509,187769,62.833177093585455
2019-05-14,0.8170000000000001,0.8294,0.79,26828,68.26442776650593
2019-05-15,0.800897,0.84,0.7765,18053,67.50477980776357
2019-05-16,0.82,0.82,0.7598,33369,72.75148855061913
2019-05-17,0.8,0.8192,0.75,11423,68.54220407968891
2019-05-20,0.8,0.81,0.7647,21459,68.46603513338964
2019-05-21,0.8,0.8,0.7501,30141,66.53464583656063
2019-05-22,0.767525,0.79,0.7487,14864,70.02916140432559
2019-05-23,0.77,0.77,0.7401,28372,67.60223684054887
2019-05-24,0.77,0.77,0.745,19978,51.09986245297515
2019-05-28,0.795,0.809,0.75,71933,47.688386304425144
2019-05-29,0.7975,0.8,0.77,36105,62.64353013084067
2019-05-30,0.8,0.8,0.752347,21962,61.27131864594643
2019-05-31,0.7961,0.8041,0.7711,25843,60.45232343912272
2019-06-04,0.73,0.767,0.57,48499,62.345204733163364
2019-06-05,0.7763,0.79,0.7202,32497,48.249836005079274
2019-06-06,0.713639,0.809,0.7,61313,47.800243220116876
2019-06-07,0.78,0.8,0.71,34024,56.544040606852604
2019-06-10,0.78,0.8,0.72,9635,64.08123993458463
2019-06-11,0.779,0.7999,0.722,10300,63.91272963778904
2019-06-12,0.7596,0.8,0.7356,52476,65.62446624966675
2019-06-13,0.8071,0.8071,0.7511,12878,73.85811686626667
2019-06-14,0.84,0.84,0.8,37557,76.98723236330845
2019-06-17,0.81,0.88,0.81,13310,77.58676670879258
2019-06-18,0.8101,0.84,0.81,17083,74.24793213646768
2019-06-19,0.85,0.85,0.802,27637,70.80562740300938
2019-06-20,0.8305,0.87,0.75,29764,72.04095196097877
2019-06-21,0.7601100000000001,0.85,0.72,9065,65.04340418749443
2019-06-24,0.7366,0.784,0.7014,88424,67.89142892529769
2019-06-25,0.7201,0.75,0.7,19996,51.55216869599209
2019-06-26,0.7304,0.7463,0.7,54584,57.59085999732786
2019-06-27,0.7269,0.73,0.7,33264,44.5113084291517
2019-06-28,0.7147,0.7296,0.69709,28931,36.67170204557005
2019-07-01,0.7,0.73,0.6901,64682,32.991388960079995
2019-07-02,0.7101,0.7120000000000001,0.6809999999999999,38466,29.626207415312898
2019-07-03,0.71,0.71,0.6809999999999999,15495,19.488696690504316
2019-07-05,0.69,0.7,0.68,51766,16.616183507659784
2019-07-08,0.6932,0.7,0.6754,77585,7.846467392991123
2019-07-09,0.713905,0.7262,0.6809999999999999,57060,20.225483210733593
2019-07-10,0.6902,0.7190000000000001,0.6815,78041,15.74583639887801
2019-07-11,0.7202,0.73,0.68,45191,26.42772792623591
2019-07-12,0.7334,0.75,0.7,42025,32.8078966810106
2019-07-15,0.68,0.73,0.68,38517,31.24508629767968
2019-07-16,0.7211029999999999,0.7211029999999999,0.7020000000000001,13840,39.785711587644165
2019-07-17,0.716,0.73,0.716,11221,39.17528509797373
2019-07-18,0.7147,0.73,0.7020000000000001,10838,42.11839569900154
2019-07-19,0.72,0.726,0.7,12831,43.805815909089866
2019-07-22,0.72,0.7240000000000001,0.6901,33859,45.08819649793626
2019-07-23,0.7148,0.73,0.6890000000000001,39284,47.721447941194
2019-07-24,0.69,0.7175,0.68,27397,47.59605936582859
2019-07-25,0.715,0.7257,0.68,9815,51.5899482443504
2019-07-26,0.7,0.715,0.6801,12721,55.82396817110739
2019-07-29,0.71,0.7201,0.67,76017,49.384631266194376
2019-07-30,0.67,0.71,0.67,40147,47.391652585393736
2019-07-31,0.665,0.6912,0.6644,17762,33.139636647690864
2019-08-01,0.7,0.7,0.66,18766,28.19001757736872
2019-08-02,0.7,0.71,0.642,22145,30.15320718073502
2019-08-05,0.7,0.71,0.65,12236,26.78680628912341
2019-08-06,0.71,0.71,0.6733,645,26.334159200690898
2019-08-07,0.6834,0.7,0.6503,44237,27.19598503185142
2019-08-08,0.7,0.7,0.66,4515,36.56372802359327
2019-08-09,0.7,0.7,0.69,12596,38.69708298232047
2019-08-12,0.67,0.7,0.65,33822,41.22705665364452
2019-08-13,0.667,0.6709999999999999,0.61,26948,42.15736043729178
2019-08-14,0.6677,0.6708,0.645,22901,41.75924421963037
2019-08-15,0.63,0.71,0.62,22720,40.3056202113589
2019-08-16,0.6999,0.71,0.6503,14505,41.77806062060665
2019-08-19,0.7,0.7,0.6579,6615,50.887785710651
2019-08-20,0.8846,1.4,0.8321,27673412,60.11397085230793
2019-08-21,0.82,1.02,0.7125,5947402,0.32343962732533443
2019-08-22,0.7609999999999999,0.82,0.735,2103296,0.27536896688863177
2019-08-23,0.7321,0.78,0.7222,1065231,0.22033072191249822
2019-08-26,0.696,0.757,0.6809999999999999,990339,0.19246186852424224
2019-08-27,0.746039,0.88,0.72,2965556,2.089757849364795
2019-08-28,0.7052,0.7281,0.7,683177,1.8919680666536944
2019-08-29,0.6754,0.6988,0.62,1036772,1.8612552538584644
2019-08-30,0.6341,0.6747,0.622,609039,1.8299942331767085
2019-09-03,0.62,0.6576,0.603,417376,1.8134667075439364
2019-09-04,0.638,0.65,0.6002,307106,2.396372189547957
2019-09-05,0.6115,0.6379,0.58,463809,2.3860357426536365
2019-09-06,0.6191,0.627,0.581,346579,2.334946061317285
2019-09-09,0.6231,0.6789,0.618,464671,2.8290243274044196
2019-09-10,0.6326,0.67,0.629,249317,3.5055336730762865
2019-09-11,0.6415069999999999,0.66,0.6252,178966,10.943295081482733
2019-09-12,0.6422,0.66,0.6176,180839,17.28823435109512
2019-09-13,0.6305,0.65,0.62,91463,21.001366682353737
2019-09-16,0.6203,0.64,0.6115,193010,23.458385716935137
2019-09-17,0.624,0.63,0.6005,252662,13.506255114696206
2019-09-18,0.585,0.66,0.585,1338743,21.76096673838135
2019-09-19,0.6101,0.6289,0.5952,183088,41.00355194204881
2019-09-20,0.6145,0.619,0.6,170406,48.1921872843205
2019-09-23,0.5885,0.628,0.5711,198787,52.80869933573703
2019-09-24,0.5434,0.61,0.54,341973,46.30781796839853
2019-09-25,0.55,0.59,0.537,288402,46.31202847846256
2019-09-26,0.56,0.574,0.5401,202877,48.36784931135516
2019-09-27,0.53,0.58,0.53,99397,42.1696280955945
2019-09-30,0.5423,0.5801,0.54,100362,36.30989782487363
2019-10-01,0.55,0.5601,0.5055,143801,37.970626452195
2019-10-02,0.516,0.5579,0.502,116545,38.6016470153412
2019-10-03,0.5387,0.55,0.515,78470,42.33770279717678
2019-10-04,0.515,0.5499,0.5,125667,42.647503800578725
2019-10-07,0.5412,0.57,0.51,114736,46.82192996906969
2019-10-08,0.52,0.5682,0.52,87045,48.98708323192324
2019-10-09,0.4728,0.5301,0.4501,232009,14.296932625107287
2019-10-10,0.48,0.505,0.4478,223972,14.29208476713944
2019-10-11,0.46,0.5005,0.4277,226380,14.26032149932617
2019-10-14,0.4325,0.4725,0.41700000000000004,260569,14.415792562760318
2019-10-15,0.38,0.4567,0.37,689294,15.372767157579176
2019-10-16,0.4151,0.42,0.373,422587,35.41801790110718
2019-10-17,0.4988,0.499,0.4201,508884,46.519884333361496
2019-10-18,0.5205,0.561,0.4671,367080,52.996699901498125
2019-10-21,0.5,0.5471,0.47,182583,48.7513048097381
2019-10-22,0.5755,0.579,0.4854,480497,53.79693694532224
2019-10-23,0.4749,0.5329999999999999,0.46,331933,44.81222925100226
2019-10-24,0.3701,0.44,0.34,2782087,42.12373915972517
2019-10-25,0.21,0.28,0.201,6144185,25.931740416746013
2019-10-28,0.19,0.21,0.182,1950480,17.88737477162608
2019-10-29,0.1701,0.2,0.166,1971970,16.623228027383668
2019-10-30,0.16,0.1811,0.152,1300256,15.814557737590656
2019-10-31,0.1621,0.1778,0.16,837294,19.719515463855494
2019-11-01,0.165,0.174,0.1621,865595,22.333371395965823
2019-11-04,0.166,0.19,0.1636,721968,25.035255597426225
2019-11-05,0.17,0.18,0.165,1070293,20.206865098038733
2019-11-06,0.1672,0.177,0.165,615593,16.72527267169436
2019-11-07,0.162,0.1708,0.161,577781,12.21719058680958
2019-11-08,0.1536,0.1631,0.1529,510269,12.460659891503655
2019-11-11,0.157,0.1697,0.1531,747256,12.229786298607802
2019-11-12,0.1525,0.1699,0.151,522473,12.611973785154829
2019-11-13,0.1535,0.1601,0.1529,238550,12.83606987032983
2019-11-14,0.1665,0.175,0.1536,4049021,17.711665103754
2019-11-15,0.1475,0.1701,0.14,2532787,22.56841320763954
2019-11-18,0.1341,0.15,0.131,1262750,22.50281337091199
2019-11-19,0.1111,0.13,0.05,1716812,24.067973855417456
2019-11-20,0.1132,0.12,0.1033,899125,22.640629186409132
2019-11-21,0.1108,0.11900000000000001,0.11,427167,21.428836683405013
2019-11-22,0.115,0.1198,0.1091,503943,18.242819055710044
2019-11-25,0.1145,0.1229,0.111,686389,21.281345782838876
